YEAR,DOY,HR,IMF,SW_Density,SW_speed,SW_Pressure,Kp,Dst,F107
2020,60,0,5.9,5.6,468.0,2.19,23,-6,68.8
2020,61,0,3.7,2.8,454.0,1.08,13,-12,68.1
2020,62,0,4.2,5.2,428.0,1.78,10,-6,68.1
2020,63,0,3.8,4.3,418.0,1.4,13,-8,68.8
2020,64,0,4.1,5.3,388.0,1.39,13,-7,68.7
2020,65,0,5.8,11.9,351.0,2.52,7,2,68.3
2020,66,0,7.1,9.1,342.0,1.87,10,2,68.9
2020,67,0,4.9,6.4,360.0,1.47,10,-3,68.8
2020,68,0,4.2,6.7,358.0,1.45,13,-4,69.2
2020,69,0,4.5,11.3,348.0,2.43,13,0,69.8
2020,70,0,2.5,10.0,333.0,1.92,7,0,69.8
2020,71,0,2.0,11.0,311.0,1.82,7,6,69.6
2020,72,0,4.8,10.7,340.0,2.14,13,-5,69.1
2020,73,0,5.2,4.3,412.0,1.3,17,-11,67.9
2020,74,0,3.0,2.9,387.0,0.79,3,-4,67.4
2020,75,0,3.7,6.2,363.0,1.49,10,1,69.5
2020,76,0,3.6,11.3,347.0,2.37,10,-2,69.1
2020,77,0,5.2,5.7,388.0,1.53,13,-4,70.9
2020,78,0,5.0,5.3,398.0,1.61,13,0,71.4
2020,79,0,4.1,4.2,471.0,1.74,23,-15,71.5
2020,80,0,4.2,4.0,426.0,1.36,17,-14,71.1
2020,81,0,4.1,3.6,466.0,1.56,20,-14,70.3
2020,82,0,4.3,4.5,451.0,1.83,17,-8,69.8
2020,83,0,4.1,4.5,478.0,2.0,23,-11,69.9
2020,84,0,3.8,3.2,441.0,1.2,7,-6,70.8
2020,85,0,3.7,4.0,392.0,1.12,7,-4,70.9
2020,86,0,4.0,5.0,394.0,1.47,10,-1,69.9
2020,87,0,3.3,4.5,400.0,1.38,13,-5,69.2
2020,88,0,3.9,6.0,372.0,1.54,13,-3,69.0
2020,89,0,4.3,5.0,402.0,1.51,17,-6,68.6
2020,90,0,5.2,5.3,416.0,1.62,23,-12,69.1
2020,91,0,5.1,4.4,498.0,2.0,27,-19,69.8
2020,92,0,3.4,3.2,456.0,1.22,13,-12,69.2
2020,93,0,3.9,3.8,412.0,1.2,17,-10,69.7
2020,94,0,5.5,4.4,405.0,1.36,17,-12,70.0
2020,95,0,3.7,4.2,423.0,1.36,10,-6,70.2
2020,96,0,3.7,4.6,413.0,1.5,10,0,71.3
2020,97,0,2.7,3.9,353.0,0.91,3,1,70.1
2020,98,0,3.2,6.2,316.0,1.1,7,5,70.1
2020,99,0,6.9,11.1,402.0,2.96,27,-8,70.7
2020,100,0,4.0,3.0,403.0,0.89,10,-10,70.6
2020,101,0,3.6,4.8,360.0,1.11,10,-1,69.5
2020,102,0,4.5,6.8,368.0,1.67,17,-4,70.9
2020,103,0,4.8,5.7,418.0,1.83,17,-1,71.1
2020,104,0,3.6,5.0,388.0,1.36,13,-1,70.7
2020,105,0,4.9,7.7,396.0,2.29,17,2,69.4
2020,106,0,3.8,4.2,411.0,1.34,17,-4,68.9
2020,107,0,3.0,3.2,370.0,0.75,10,-5,69.0
2020,108,0,3.6,7.1,312.0,1.2,7,1,68.4
2020,109,0,4.0,5.7,323.0,1.04,7,-3,70.4
2020,110,0,3.0,4.6,313.0,0.79,3,3,69.2
2020,111,0,11.8,11.6,344.0,2.43,27,-18,68.9
2020,112,0,9.4,10.7,372.0,2.4,20,-14,69.8
2020,113,0,3.3,2.6,446.0,0.96,17,-15,71.4
2020,114,0,4.1,4.4,400.0,1.19,7,-3,69.5
2020,115,0,4.1,6.8,379.0,1.8,17,1,70.5
2020,116,0,4.1,4.4,402.0,1.36,10,-1,69.8
2020,117,0,4.3,5.6,393.0,1.63,17,-5,70.1
2020,118,0,4.2,3.8,404.0,1.14,17,-10,69.9
2020,119,0,4.5,4.7,396.0,1.37,13,-7,69.9
2020,120,0,3.0,3.8,349.0,0.81,3,-3,71.0
2020,121,0,3.3,4.9,289.0,0.7,3,2,70.9
2020,122,0,5.0,10.5,302.0,1.65,10,-7,71.3
2020,123,0,4.1,5.5,325.0,1.04,10,-10,70.3
2020,124,0,3.8,11.1,312.0,1.84,10,-1,69.8
2020,125,0,4.3,7.9,322.0,1.42,13,-4,70.5
2020,126,0,4.7,7.0,318.0,1.24,13,-10,70.5
2020,127,0,4.9,4.3,311.0,0.75,10,-18,71.1
2020,128,0,3.8,7.0,322.0,1.28,7,-10,70.0
2020,129,0,3.7,8.3,334.0,1.63,7,-2,69.2
2020,130,0,3.6,5.4,315.0,0.93,3,-2,72.4
2020,131,0,4.1,10.4,308.0,1.73,7,5,69.3
2020,132,0,3.0,6.0,330.0,1.17,10,-8,67.5
2020,133,0,2.4,10.7,311.0,1.79,7,2,70.3
2020,134,0,2.6,11.7,307.0,1.89,7,0,70.2
2020,135,0,2.2,12.8,296.0,1.9,3,6,69.0
2020,136,0,3.7,8.8,305.0,1.38,7,1,69.4
2020,137,0,3.4,4.9,309.0,0.81,7,-1,71.0
2020,138,0,3.4,9.0,304.0,1.41,3,3,71.2
