YEAR,DOY,HR,SCALAR_B,BY,BZ,SW_PLASMA,FLOW_PRESSURE,KP,DST,F107,AE
2020,81,0,5.5,-2.3,-2.0,395.,1.05,17,-28,70.3,9999
2020,81,1,6.5,-1.0,0.9,398.,0.98,17,-21,70.3,9999
2020,81,2,5.9,-2.7,-0.6,423.,1.33,17,-16,70.3,9999
2020,81,3,6.3,-1.1,3.4,463.,1.95,23,-11,70.3,9999
2020,81,4,6.0,-2.9,0.1,491.,2.05,23,-8,70.3,9999
2020,81,5,4.6,-0.9,-3.8,480.,2.26,23,-13,70.3,9999
2020,81,6,3.9,-0.7,-1.6,494.,2.08,30,-24,70.3,9999
2020,81,7,3.7,-0.3,-0.3,493.,1.86,30,-26,70.3,9999
2020,81,8,3.8,-1.1,0.3,498.,1.77,30,-22,70.3,9999
2020,81,9,4.1,-1.8,0.1,507.,1.78,20,-18,70.3,9999
2020,81,10,3.4,2.3,0.8,532.,1.79,20,-10,70.3,9999
2020,81,11,3.0,1.4,-0.2,520.,1.62,20,-9,70.3,9999
2020,81,12,2.9,-0.4,-1.0,499.,1.54,13,-13,70.3,9999
2020,81,13,3.0,-2.2,-1.0,483.,1.52,13,-14,70.3,9999
2020,81,14,3.3,-2.0,-2.1,480.,1.57,13,-14,70.3,9999
2020,81,15,3.6,-1.1,0.3,474.,1.42,20,-15,70.3,9999
2020,81,16,2.9,-1.9,-1.1,473.,1.55,20,-13,70.3,9999
2020,81,17,3.1,-1.6,-1.2,465.,1.40,20,-11,70.3,9999
2020,81,18,2.8,-0.7,-0.8,456.,1.28,17,-10,70.3,9999
2020,81,19,3.1,-0.5,-0.5,444.,1.29,17,-10,70.3,9999
2020,81,20,3.4,-0.9,0.7,443.,1.33,17,-8,70.3,9999
2020,81,21,4.4,-2.2,-0.8,432.,1.25,13,-10,70.3,9999
2020,81,22,4.5,-2.4,-1.3,421.,1.26,13,-13,70.3,9999
2020,81,23,4.3,0.1,0.6,419.,1.45,13,-14,70.3,9999
2020,82,0,5.2,-2.0,0.7,432.,1.79,23,-8,69.8,9999
2020,82,1,5.4,-4.1,-1.5,439.,2.01,23,-4,69.8,9999
2020,82,2,5.4,-3.4,-1.4,438.,1.80,23,-4,69.8,9999
2020,82,3,5.3,-2.6,-1.0,439.,1.78,20,-7,69.8,9999
2020,82,4,4.9,-1.7,-0.9,453.,1.82,20,-9,69.8,9999
2020,82,5,4.5,-0.9,-0.7,431.,1.36,20,-10,69.8,9999
2020,82,6,4.5,-2.3,-0.6,441.,1.51,10,-4,69.8,9999
2020,82,7,4.3,-3.2,-0.4,462.,1.77,10,-4,69.8,9999
2020,82,8,3.7,-2.1,-0.6,471.,2.15,10,-6,69.8,9999
2020,82,9,3.6,-2.4,-0.5,466.,2.25,10,-8,69.8,9999
2020,82,10,2.7,-1.6,-0.8,473.,2.50,10,-5,69.8,9999
2020,82,11,3.8,-2.6,-0.9,469.,2.42,10,-4,69.8,9999
2020,82,12,4.5,-1.6,1.0,462.,2.02,13,-6,69.8,9999
2020,82,13,5.0,-1.1,0.8,452.,1.60,13,-7,69.8,9999
2020,82,14,5.1,-1.5,0.0,446.,1.40,13,-8,69.8,9999
2020,82,15,5.0,-2.3,-1.2,449.,1.51,17,-10,69.8,9999
2020,82,16,4.7,-0.5,1.4,460.,1.72,17,-7,69.8,9999
2020,82,17,4.2,-0.6,1.7,453.,1.68,17,-4,69.8,9999
2020,82,18,3.8,-2.1,-0.5,442.,1.79,23,-7,69.8,9999
2020,82,19,3.9,-1.7,-2.2,444.,1.81,23,-9,69.8,9999
2020,82,20,2.6,-1.3,-0.7,441.,1.67,23,-15,69.8,9999
2020,82,21,3.3,-2.3,-0.5,444.,1.51,17,-17,69.8,9999
2020,82,22,3.9,-2.3,-0.7,456.,1.92,17,-14,69.8,9999
2020,82,23,4.2,-2.2,-1.3,462.,2.12,17,-15,69.8,9999
2020,83,0,3.7,-2.4,-1.8,454.,2.59,23,-15,69.9,9999
2020,83,1,4.6,-1.8,-3.5,457.,2.81,23,-11,69.9,9999
2020,83,2,4.7,-1.9,-2.4,458.,2.99,23,-12,69.9,9999
2020,83,3,3.8,-0.1,-2.1,459.,3.13,33,-11,69.9,9999
2020,83,4,4.9,-0.8,1.4,454.,2.37,33,-8,69.9,9999
2020,83,5,4.7,-2.0,2.2,453.,1.85,33,-6,69.9,9999
2020,83,6,5.0,-0.2,1.1,439.,1.33,13,-7,69.9,9999
2020,83,7,5.0,0.3,1.9,448.,1.47,13,-7,69.9,9999
2020,83,8,5.1,1.1,2.7,447.,1.61,13,-7,69.9,9999
2020,83,9,4.6,-0.2,1.2,454.,1.94,30,-7,69.9,9999
2020,83,10,4.1,1.9,2.0,474.,1.92,30,-10,69.9,9999
2020,83,11,5.2,-2.8,-1.4,474.,1.49,30,-15,69.9,9999
2020,83,12,4.5,-2.7,-0.4,511.,1.79,23,-12,69.9,9999
2020,83,13,3.2,0.0,-2.0,501.,2.06,23,-13,69.9,9999
2020,83,14,3.4,0.6,-1.7,505.,2.43,23,-11,69.9,9999
2020,83,15,3.0,-0.9,-1.1,509.,2.53,20,-11,69.9,9999
2020,83,16,2.7,-0.4,-0.1,514.,2.33,20,-11,69.9,9999
2020,83,17,2.9,-1.3,-0.8,506.,2.15,20,-10,69.9,9999
2020,83,18,3.9,-2.1,-2.0,486.,1.91,33,-13,69.9,9999
2020,83,19,3.7,-1.0,-2.2,501.,2.08,33,-15,69.9,9999
2020,83,20,3.8,0.2,-0.7,509.,1.65,33,-12,69.9,9999
2020,83,21,4.3,0.4,-1.0,501.,1.46,20,-13,69.9,9999
2020,83,22,4.3,-0.9,-1.7,477.,1.08,20,-12,69.9,9999
2020,83,23,4.3,-1.0,-2.5,472.,1.05,20,-15,69.9,9999
2020,84,0,4.9,-3.3,-3.1,452.,1.10,27,-17,70.8,9999
2020,84,1,3.1,-2.3,0.9,463.,1.38,27,-19,70.8,9999
2020,84,2,2.5,-1.4,0.2,471.,1.63,27,-13,70.8,9999
2020,84,3,3.0,-0.2,0.7,473.,1.31,10,-11,70.8,9999
2020,84,4,3.1,-1.2,-0.3,472.,1.21,10,-11,70.8,9999
2020,84,5,3.1,-1.6,-0.3,469.,1.20,10,-9,70.8,9999
2020,84,6,3.3,-1.9,-1.4,466.,1.28,10,-8,70.8,9999
2020,84,7,3.2,-1.5,-1.0,463.,1.27,10,-8,70.8,9999
2020,84,8,3.2,-1.1,-1.3,460.,1.28,10,-8,70.8,9999
2020,84,9,3.5,-1.2,0.7,456.,1.25,3,-4,70.8,9999
2020,84,10,3.5,-2.4,0.4,461.,1.44,3,0,70.8,9999
2020,84,11,3.9,-0.5,-1.9,451.,1.39,3,-1,70.8,9999
2020,84,12,3.9,-0.6,-0.7,437.,1.12,3,-3,70.8,9999
2020,84,13,4.4,-0.2,-1.3,435.,1.06,3,-6,70.8,9999
2020,84,14,4.4,0.1,-0.1,432.,1.16,3,-5,70.8,9999
2020,84,15,4.2,-1.2,0.4,431.,1.18,3,-3,70.8,9999
2020,84,16,4.2,0.1,0.0,425.,1.06,3,0,70.8,9999
2020,84,17,4.4,-0.6,-0.5,420.,1.14,3,2,70.8,9999
2020,84,18,4.3,-1.2,-0.4,414.,1.07,3,1,70.8,9999
2020,84,19,4.2,-1.3,-0.6,411.,1.08,3,1,70.8,9999
2020,84,20,4.0,-1.6,-1.0,408.,1.07,3,-2,70.8,9999
